id_zona_Origen,id_zona_Dest,Rate
87,1,45
87,2,59
87,3,65
87,4,28
87,5,26
87,6,30
87,7,30
87,8,35
87,9,45
87,10,46
87,11,48
87,12,50
87,13,60
87,14,60
87,15,28
87,16,32
87,17,38
87,18,43
87,19,36
87,20,38
87,21,43
87,22,46
87,23,40
87,24,45
87,25,50
87,26,50
87,27,38
87,28,35
87,29,24
87,30,28
87,31,28
87,32,33
87,33,38
87,34,20
87,35,22
87,36,20
87,37,25
87,38,25
87,39,22
87,40,32
87,41,35
87,42,22
87,43,22
87,44,23
87,45,22
87,46,22
87,47,20
87,48,20
87,49,19
87,50,21
87,51,35
87,52,16
87,53,15
87,54,25
87,55,19
87,56,18
87,57,18
87,58,17
87,59,16
87,60,18
87,61,20
87,62,20
87,63,18
87,64,17
87,65,16
87,66,22
87,67,15
87,68,14
87,69,15
87,70,16
87,71,15
87,72,17
87,73,18
87,74,18
87,75,20
87,76,22
87,77,14
87,78,15
87,79,15
87,80,17
87,81,25
87,82,26
87,83,24
87,84,28
87,85,16
87,86,18
87,87,10
87,88,15
87,89,17
87,90,13
87,91,15
87,92,15
87,93,17
87,94,17
87,95,20
87,96,20
87,97,15
87,98,16
87,99,25
87,100,25
87,101,35
87,102,50
87,103,35
87,104,40
87,105,35
87,106,40
87,107,40
87,108,45
87,109,50
87,110,48
66,1,60
66,2,65
66,3,75
66,4,26
66,5,24
66,6,27
66,7,27
66,8,35
66,9,45
66,10,50
66,11,52
66,12,56
66,13,65
66,14,80
66,15,30
66,16,32
66,17,42
66,18,50
66,19,40
66,20,40
66,21,45
66,22,50
66,23,48
66,24,53
66,25,53
66,26,53
66,27,43
66,28,38
66,29,30
66,30,37
66,31,37
66,32,42
66,33,45
66,34,18
66,35,20
66,36,25
66,37,27
66,38,24
66,39,20
66,40,26
66,41,27
66,42,21
66,43,22
66,44,22
66,45,24
66,46,22
66,47,17
66,48,18
66,49,17
66,50,18
66,51,17
66,52,19
66,53,16
66,54,20
66,55,15
66,56,16
66,57,15
66,58,16
66,59,16
66,60,15
66,61,14
66,62,18
66,63,12
66,64,15
66,65,16
66,66,10
66,67,16
66,68,18
66,69,18
66,70,17
66,71,18
66,72,17
66,73,14
66,74,13
66,75,13
66,76,20
66,77,22
66,78,22
66,79,21
66,80,23
66,81,13
66,82,17
66,83,16
66,84,20
66,85,27
66,86,30
66,87,22
66,88,26
66,89,28
66,90,23
66,91,26
66,92,26
66,93,28
66,94,28
66,95,30
66,96,45
66,97,35
66,98,38
66,99,35
66,100,25
66,101,30
66,102,45
66,103,35
66,104,45
66,105,38
66,106,36
66,107,38
66,108,39
66,109,42
66,110,45
39,1,
39,2,50
39,3,48
39,4,17
39,5,15
39,6,20
39,7,17
39,8,25
39,9,35
39,10,36
39,11,37
39,12,32
39,13,38
39,14,45
39,15,21
39,16,21
39,17,26
39,18,34
39,19,35
39,20,38
39,21,36
39,22,40
39,23,30
39,24,35
39,25,38
39,26,45
39,27,28
39,28,26
39,29,20
39,30,24
39,31,24
39,32,30
39,33,32
39,34,13
39,35,14
39,36,16
39,37,13
39,38,12
39,39,10
39,40,18
39,41,25
39,42,14
39,43,14
39,44,15
39,45,12
39,46,13
39,47,13
39,48,12
39,49,15
39,50,14
39,51,17
39,52,16
39,53,17
39,54,18
39,55,16
39,56,16
39,57,17
39,58,16
39,59,17
39,60,13
39,61,13
39,62,12
39,63,13
39,64,25
39,65,24
39,66,20
39,67,18
39,68,19
39,69,20
39,70,22
39,71,22
39,72,24
39,73,24
39,74,20
39,75,24
39,76,28
39,77,24
39,78,25
39,79,25
39,80,27
39,81,25
39,82,30
39,83,28
39,84,32
39,85,24
39,86,28
39,87,22
39,88,24
39,89,28
39,90,24
39,91,28
39,92,28
39,93,30
39,94,30
39,95,32
39,96,36
39,97,38
39,98,40
39,99,46
39,100,35
39,101,38
39,102,39
39,103,42
39,104,45
39,105,51
39,106,49
39,107,47
39,108,46
39,109,29
39,110,35
13,1,40
13,2,45
13,3,38
13,4,12
13,5,13
13,6,13
13,7,14
13,8,18
13,9,16
13,10,18
13,11,17
13,12,18
13,13,15
13,14,25
13,15,20
13,16,24
13,17,23
13,18,24
13,19,25
13,20,30
13,21,25
13,22,26
13,23,30
13,24,31
13,25,35
13,26,36
13,27,37
13,28,38
13,29,35
13,30,40
13,31,40
13,32,45
13,33,50
13,34,20
13,35,22
13,36,25
13,37,16
13,38,15
13,39,28
13,40,26
13,41,32
13,42,25
13,43,18
13,44,21
13,45,28
13,46,25
13,47,26
13,48,35
13,49,25
13,50,26
13,51,31
13,52,30
13,53,35
13,54,41
13,55,25
13,56,26
13,57,27
13,58,26
13,59,28
13,60,30
13,61,31
13,62,28
13,63,29
13,64,28
13,65,26
13,66,27
13,67,29
13,68,30
13,69,31
13,70,27
13,71,28
13,72,28
13,73,27
13,74,24
13,75,27
13,76,30
13,77,28
13,78,28
13,79,26
13,80,32
13,81,28
13,82,35
13,83,30
13,84,38
13,85,38
13,86,34
13,87,30
13,88,28
13,89,29
13,90,32
13,91,34
13,92,34
13,93,36
13,94,36
13,95,38
13,96,45
13,97,42
13,98,41
13,99,41
13,100,35
13,101,45
13,102,42
13,103,48
13,104,46
13,105,41
13,106,40
13,107,50
13,108,51
13,109,58
13,110,55
1,1,10
1,2,12
1,3,15
1,4,45
1,5,42
1,6,40
1,7,41
1,8,42
1,9,45
1,10,46
1,11,48
1,12,50
1,13,60
1,14,60
1,15,50
1,16,54
1,17,38
1,18,51
1,19,50
1,20,60
1,21,42
1,22,38
1,23,40
1,24,45
1,25,50
1,26,50
1,27,38
1,28,35
1,29,50
1,30,51
1,31,28
1,32,51
1,33,60
1,34,62
1,35,63
1,36,60
1,37,58
1,38,55
1,39,45
1,40,50
1,41,45
1,42,42
1,43,44
1,44,40
1,45,42
1,46,48
1,47,50
1,48,51
1,49,52
1,50,45
1,51,42
1,52,46
1,53,48
1,54,35
1,55,60
1,56,68
1,57,60
1,58,50
1,59,54
1,60,52
1,61,53
1,62,50
1,63,45
1,64,58
1,65,52
1,66,50
1,67,50
1,68,45
1,69,48
1,70,46
1,71,44
1,72,42
1,73,41
1,74,40
1,75,40
